2024-04-10 14:05:07, Nic, standard_series, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, PROPERTY Processor.standard_series SET TO Time2021-12-21 11:1 ... [<class 'pandas.core.series.Series'> of len 79964]. It is on an instance of Processor.
2024-04-10 14:05:07, Nic, import_standard, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, METHOD Processor.import_standard called with args ('2021-12-21 11:15'; '2024-04-02 10:00') and kwargs {}. It is on an instance of Processor; and returns the value None.
2024-04-10 14:05:07, Nic, quality_series, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, PROPERTY Processor.quality_series SET TO Time2022-01-01 00:0 ... [<class 'pandas.core.series.Series'> of len 5]. It is on an instance of Processor.
2024-04-10 14:05:07, Nic, import_quality, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, METHOD Processor.import_quality called with args ('2021-12-21 11:15'; '2024-04-02 10:00') and kwargs {}. It is on an instance of Processor; and returns the value None.
2024-04-10 14:05:07, Nic, check_series, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, PROPERTY Processor.check_series SET TO Time2022-01-21 09:5 ... [<class 'pandas.core.series.Series'> of len 9]. It is on an instance of Processor.
2024-04-10 14:05:07, Nic, import_check, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, METHOD Processor.import_check called with args ('2021-12-21 11:15'; '2024-04-02 10:00') and kwargs {}. It is on an instance of Processor; and returns the value None.
2024-04-10 14:05:07, Nic, __init__, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, METHOD Processor.__init__ called with args ('http://hilltopdev.horizons.govt.nz/'; 'Makino at Boness Road'; 'RawLoggerNet.hts'; 'Water Temperature'; '15min'; '2021-12-21 11:15'; '2024-04-02 10:00'; 'boo.hts'; 'Water Temperature Check [Water Temperature]'; {'delta': 5; 'gap_limit': 12; 'high_clip': 35; 'low_clip': 0; 'max_qc': 600; 'span': 10}) and kwargs {}. It is on an instance of Processor; and returns the value None.
2024-04-10 14:05:07, Nic, check_series, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, PROPERTY Processor.check_series SET TO Time2022-01-21 09:5 ... [<class 'pandas.core.series.Series'> of len 48]. It is on an instance of Processor.
2024-04-10 14:05:07, Nic, check_series, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, PROPERTY Processor.check_series SET TO Time2022-01-21 09:5 ... [<class 'pandas.core.series.Series'> of len 48]. It is on an instance of Processor.
2024-04-10 14:05:07, Nic, standard_series, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, PROPERTY Processor.standard_series SET TO Time2021-12-21 11:1 ... [<class 'pandas.core.series.Series'> of len 79964]. It is on an instance of Processor.
2024-04-10 14:05:07, Nic, clip, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, METHOD Processor.clip called with args () and kwargs {}. It is on an instance of Processor; and returns the value None.
2024-04-10 14:05:07, Nic, standard_series, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, PROPERTY Processor.standard_series SET TO Time2021-12-21 11:1 ... [<class 'pandas.core.series.Series'> of len 79964]. It is on an instance of Processor.
2024-04-10 14:05:07, Nic, remove_spikes, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, METHOD Processor.remove_spikes called with args () and kwargs {}. It is on an instance of Processor; and returns the value None.
2024-04-10 14:05:07, Nic, standard_series, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, PROPERTY Processor.standard_series SET TO Time2021-12-21 11:1 ... [<class 'pandas.core.series.Series'> of len 79964]. It is on an instance of Processor.
2024-04-10 14:05:07, Nic, insert_missing_nans, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, METHOD Processor.insert_missing_nans called with args () and kwargs {}. It is on an instance of Processor; and returns the value None.
2024-04-10 14:05:07, Nic, standard_series, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, PROPERTY Processor.standard_series SET TO Time2021-12-21 11:1 ... [<class 'pandas.core.series.Series'> of len 79964]. It is on an instance of Processor.
2024-04-10 14:05:07, Nic, gap_closer, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, METHOD Processor.gap_closer called with args () and kwargs {}. It is on an instance of Processor; and returns the value None.
2024-04-10 14:05:08, Nic, quality_series, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, PROPERTY Processor.quality_series SET TO 2021-12-21 11:15:00  ... [<class 'pandas.core.series.Series'> of len 49]. It is on an instance of Processor.
2024-04-10 14:05:08, Nic, quality_encoder, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, METHOD Processor.quality_encoder called with args () and kwargs {}. It is on an instance of Processor; and returns the value None.
2024-04-10 14:05:09, Nic, data_exporter, Makino at Boness Road, None, 2021-12-21 11:15, 2024-04-02 10:00, METHOD Processor.data_exporter called with args ('processed.xml';) and kwargs {}. It is on an instance of Processor; and returns the value None.
