site,from_date,to_date,data_family,standard_measurement_name
Amons,,,conductivity,
Arawhata Drain at Dairy Track Bridge,,,conductivity,
Arawhata Drain at Hokio Beach Road,,,conductivity,
HDC Foxton Beach 1,,,conductivity,
HDC Foxton Beach3,,,conductivity,
Hokio at Lake Horowhenua,,,conductivity,
Kai Iwi at Handley Road,,,conductivity,
Manawatu at Moutoa,,,conductivity,
Manawatu at Teachers College,,,conductivity,
Mangawhero at Pakihi Rd Bridge,,,conductivity,
MDC Himatangi Shallow,,,conductivity,
Ohau at Haines Ford,,,conductivity,
Oroua at Almadale Slackline,,,conductivity,
Pohangina at Mais Reach,,,conductivity,
Rangitikei at Mangaweka,,,conductivity,
Rangitikei at McKelvies,,,conductivity,
Sexton Land Co,,,conductivity,
Turakina at Waipu,,,conductivity,
Waikawa at ds Manakau Confluence,,,conductivity,
Whangaehu at Kauangaroa,,,conductivity,
Whangaehu at Tangiwai SH49 Bridge,,,conductivity,
